global_step mean_loss accuracy conv1_kernel_gradient_mean_norm res2_0_branch2_kernel_gradient_mean_norm res2_1_branch2_kernel_gradient_mean_norm res2_2_branch2_kernel_gradient_mean_norm res2_3_branch2_kernel_gradient_mean_norm res2_4_branch2_kernel_gradient_mean_norm res2_5_branch2_kernel_gradient_mean_norm res2_6_branch2_kernel_gradient_mean_norm res2_7_branch2_kernel_gradient_mean_norm res2_8_branch2_kernel_gradient_mean_norm res2_9_branch2_kernel_gradient_mean_norm res2_10_branch2_kernel_gradient_mean_norm res2_11_branch2_kernel_gradient_mean_norm res2_12_branch2_kernel_gradient_mean_norm res2_13_branch2_kernel_gradient_mean_norm res2_14_branch2_kernel_gradient_mean_norm res2_15_branch2_kernel_gradient_mean_norm res2_16_branch2_kernel_gradient_mean_norm res2_17_branch2_kernel_gradient_mean_norm res2_18_branch2_kernel_gradient_mean_norm res2_19_branch2_kernel_gradient_mean_norm res2_20_branch2_kernel_gradient_mean_norm res2_21_branch2_kernel_gradient_mean_norm res2_22_branch2_kernel_gradient_mean_norm res2_23_branch2_kernel_gradient_mean_norm res2_24_branch2_kernel_gradient_mean_norm res2_25_branch2_kernel_gradient_mean_norm res2_26_branch2_kernel_gradient_mean_norm res2_27_branch2_kernel_gradient_mean_norm res2_28_branch2_kernel_gradient_mean_norm res2_29_branch2_kernel_gradient_mean_norm res2_30_branch2_kernel_gradient_mean_norm res2_31_branch2_kernel_gradient_mean_norm res2_32_branch2_kernel_gradient_mean_norm res2_33_branch2_kernel_gradient_mean_norm res2_34_branch2_kernel_gradient_mean_norm res2_35_branch2_kernel_gradient_mean_norm res2_36_branch2_kernel_gradient_mean_norm res2_37_branch2_kernel_gradient_mean_norm res2_38_branch2_kernel_gradient_mean_norm res2_39_branch2_kernel_gradient_mean_norm res2_40_branch2_kernel_gradient_mean_norm res2_41_branch2_kernel_gradient_mean_norm res2_42_branch2_kernel_gradient_mean_norm res2_43_branch2_kernel_gradient_mean_norm res2_44_branch2_kernel_gradient_mean_norm res2_45_branch2_kernel_gradient_mean_norm res2_46_branch2_kernel_gradient_mean_norm res2_47_branch2_kernel_gradient_mean_norm res2_48_branch2_kernel_gradient_mean_norm res2_49_branch2_kernel_gradient_mean_norm res2_50_branch2_kernel_gradient_mean_norm res2_51_branch2_kernel_gradient_mean_norm res2_52_branch2_kernel_gradient_mean_norm res2_53_branch2_kernel_gradient_mean_norm res2_54_branch2_kernel_gradient_mean_norm res2_55_branch2_kernel_gradient_mean_norm res2_56_branch2_kernel_gradient_mean_norm res2_57_branch2_kernel_gradient_mean_norm res2_58_branch2_kernel_gradient_mean_norm res2_59_branch2_kernel_gradient_mean_norm res2_60_branch2_kernel_gradient_mean_norm res2_61_branch2_kernel_gradient_mean_norm res2_62_branch2_kernel_gradient_mean_norm res2_63_branch2_kernel_gradient_mean_norm
0 3.66742 0.09432 0.03032921 0.001731014 0.0018900844 0.0015592345 0.0023504964 0.0020466733 0.0014695338 0.0016956134 0.0020252003 0.0020076213 0.0016084992 0.0014985376 0.0012908562 0.0017986678 0.0015302813 0.001452754 0.0018788162 0.0016999049 0.0017564903 0.0016893084 0.0016173408 0.0015713694 0.0015665308 0.0016646847 0.0017487857 0.0015396385 0.0014053284 0.0015805309 0.0018193724 0.0018809098 0.0017283096 0.001723252 0.0015088858 0.0012665505 0.0012508541 0.0014296857 0.0014042375 0.0015386131 0.0015442825 0.0018399026 0.0017611474 0.0010940551 0.0017678012 0.0018524319 0.0024089029 0.0016446601 0.0023259944 0.0023157455 0.0018028731 0.0021493086 0.0014357958 0.0013249825 0.0012376849 0.0026202996 0.0025768813 0.0023612666 0.0024161236 0.002406752 0.002254989 0.001984833 0.001438124 0.0016661254 0.0039494173 0.0025859429 0.0031595787
10 3.042852 0.090625 0.005120605 0.0003403599 0.00029875245 0.00036839582 0.00037950705 0.00043190928 0.00030352062 0.00035358843 0.0003960041 0.00032990353 0.0002851108 0.000251552 0.0002681387 0.00036194257 0.0003497109 0.00024446117 0.00044917825 0.00038078835 0.00033455563 0.00039492207 0.0002355507 0.00032822028 0.00029714097 0.00047547306 0.00027505224 0.00040744586 0.00040268904 0.00041460167 0.00044640037 0.0006263339 0.00045547786 0.00023168128 0.00035484 0.00035525244 0.0006986736 0.0005378628 0.00082035037 0.0005240165 0.00065728225 0.0006455406 0.00054632203 0.0006213174 0.0006802205 0.0005586602 0.0005078555 0.0006938475 0.0007364073 0.00049966277 0.0005725975 0.00068598456 0.00065706135 0.000765053 0.0010661021 0.0008809083 0.0009772278 0.0013121051 0.0018064999 0.0016403132 0.0008778028 0.0016578526 0.0018581026 0.0014183336 0.0013220598 0.0016036036 0.0010027998
20 2.727417 0.0953125 0.002040347 0.00014072016 0.0002002166 0.0001633829 0.00021702316 0.00019422133 0.00016653645 0.00021977354 0.000243111 0.00020311293 0.00018708745 0.00023336388 0.00023816708 0.00022913763 0.00025118835 0.0002908287 0.0002488751 0.00030289384 0.00035361305 0.00032274154 0.00032522806 0.00027908594 0.00037567806 0.00043665303 0.0003446148 0.0003684612 0.00030445275 0.00043780502 0.00031158637 0.00047003524 0.0005428746 0.00044829308 0.0004608392 0.00048488064 0.00053751894 0.0005067495 0.0004116643 0.0004162801 0.0005041565 0.0005799781 0.0006716829 0.00042962946 0.00062117213 0.000752468 0.00079207367 0.00063316757 0.0005089415 0.00071048475 0.0006153922 0.0008759511 0.0006746377 0.00065336877 0.00058152893 0.00068981585 0.00062431645 0.000989389 0.0007637818 0.0009580241 0.00085813185 0.001067967 0.0014878714 0.001262038 0.0012061793 0.0014162759 0.00078285043
30 2.6315408 0.09166667 0.0020387368 0.00010970529 0.00013186848 0.00015510728 0.00017297434 0.00018218957 0.00012943194 0.00012902809 0.0001793141 0.00018192668 0.00012297362 0.00013530308 0.00018436734 0.0002048208 0.00014332453 0.00017204815 0.00024074808 0.00022702286 0.00022447036 0.00024497623 0.00017322953 0.0002047074 0.00021030032 0.00022874905 0.00020424215 0.00022703354 0.00030628924 0.00028791933 0.00027575676 0.00029031947 0.00023901321 0.00019338311 0.0002396743 0.00025215695 0.00036670887 0.0003149367 0.000261165 0.00023290335 0.00039679484 0.0003845521 0.00020492711 0.00041887636 0.00025556635 0.00021301505 0.00031592118 0.0004480867 0.00047594198 0.00036060528 0.0003021534 0.00022492367 0.00019051002 0.00028339014 0.00019133593 0.0003970795 0.00029073568 0.00038354844 0.0004995028 0.0006638996 0.00038557802 0.0006103868 0.0005224797 0.00037423384 0.000766206 0.00076242705 0.00029588805
40 2.5631366 0.09609375 0.0025321583 0.00011644036 0.00013155109 0.00012203216 0.00014060824 0.000104032355 0.00014984913 0.00015417242 0.00016541994 0.00019806855 0.00016912827 0.00014527369 0.00019311177 0.00025417688 0.00022295915 0.00022696919 0.00016848258 0.0002730887 0.00023935508 0.00023575906 0.00022571432 0.00022099468 0.00027405602 0.0003047597 0.00020665153 0.00019116356 0.00029071205 0.00032847474 0.00028038112 0.00041961402 0.00032928807 0.0003416275 0.00026204475 0.00037110804 0.00038255897 0.0003551399 0.00044123712 0.00041394946 0.00040306323 0.00036701767 0.00042825175 0.000406982 0.0004086078 0.00048057755 0.00052902667 0.00045911554 0.00041608795 0.00035396442 0.00027436687 0.00055958744 0.00035018552 0.0003931409 0.000638737 0.00077295717 0.00044982557 0.00056667486 0.00072757964 0.0006423892 0.00050341606 0.00094379066 0.00096971483 0.0009954555 0.00068810687 0.0009218327 0.0005986176
50 2.5307245 0.08875 0.0009895744 5.422443e-05 8.110095e-05 6.0675822e-05 7.9282276e-05 7.839925e-05 5.4791282e-05 7.136243e-05 0.00010000754 9.4865805e-05 6.546491e-05 7.8344696e-05 9.612533e-05 0.00010782613 0.00010618892 0.00011467779 0.000101388636 0.0001256522 0.000119719356 0.000121932164 0.000115663606 0.000107535976 0.00013131085 0.00012745279 0.0001365575 0.00013413899 0.00011953715 0.00014253338 0.00014205641 0.00014042626 0.00014234039 0.00014217244 0.00017430843 0.00017597002 0.00018046494 0.00019244771 0.00016915322 0.0001597769 0.00020377735 0.00017180879 0.00021679643 0.00015885924 0.00021942043 0.00024711667 0.00024112081 0.0002452927 0.00020029885 0.0002526715 0.00015584823 0.00031756898 0.00029387674 0.00029216585 0.00018567592 0.00026295494 0.00020361607 0.00023546588 0.00019620989 0.00035045214 0.0002542474 0.0002913401 0.00038769518 0.00038532645 0.0005343018 0.00060404657 0.00024911918
60 2.4935684 0.096875 0.0026089144 9.2954695e-05 8.596563e-05 0.000117237854 0.00012858432 0.00013835836 9.278089e-05 0.0001292978 0.00013031137 0.00015222571 0.00012845956 0.00015698129 0.00017680865 0.00015522726 0.00014187914 0.00013861494 0.00016667442 0.00017123831 0.00017453967 0.00017821192 0.00016883438 0.00016281653 0.00019426776 0.00017687764 0.00023489461 0.00021329099 0.0002154312 0.00017106291 0.0002636664 0.000203536 0.00025253382 0.00027926968 0.00032092523 0.0003442929 0.00031283274 0.00032490134 0.00027002426 0.0002802511 0.00027909942 0.0002843132 0.00038554237 0.00030323205 0.000357588 0.00034266364 0.00044788566 0.00045436952 0.00044384942 0.0005423939 0.00042125134 0.00044849818 0.00037715395 0.00049607153 0.0002700848 0.00053590967 0.00014489106 0.00034484972 0.0006075557 0.0007349277 0.00041065476 0.00074569846 0.000662244 0.0004912235 0.0009906383 0.0012062094 0.00052395154
70 2.4730897 0.098660715 0.00084372086 5.3382897e-05 6.0420647e-05 6.999604e-05 7.0758244e-05 7.030842e-05 5.5337703e-05 7.499259e-05 8.836246e-05 8.316298e-05 6.575677e-05 7.3828676e-05 8.8769564e-05 0.00010190094 9.723252e-05 0.00011221649 0.00011527164 0.000119306234 0.00012373715 0.00014138955 0.00011562978 0.0001032699 0.00012848245 0.00015261909 0.0001240617 0.00014619267 0.00012175985 0.00016275709 0.00012135414 0.00013820302 0.00019478431 0.00018802671 0.00016221448 0.000149923 0.00018546531 0.00019186329 0.00015760242 0.00011557338 0.00016919599 0.000119228804 0.0002244259 0.00016294485 0.00019011457 0.00023371377 0.00029092858 0.00024073884 0.00024246174 0.0002772293 0.00022410591 0.00031108168 0.00016823542 0.00020762277 0.00030007327 0.00034194862 0.00018981168 0.00020900105 0.0004108328 0.0003400469 0.0001983113 0.0005186366 0.0005024016 0.0004844433 0.00044688306 0.0004799712 0.00028725207
80 2.4540744 0.09726562 0.0018736215 7.265505e-05 0.00012562923 0.00011820096 0.00013632381 0.00013482873 0.00012787964 0.000111875575 0.00016089375 0.00018560092 0.00010897997 0.00012780119 0.00012760144 0.00019675877 0.00016419319 0.00020223371 0.00017562824 0.00019684817 0.00021139941 0.00017523782 0.00018362577 0.00019975769 0.00023096072 0.00021611468 0.00023093277 0.00023401802 0.00022533447 0.00024220388 0.00021298668 0.0002547454 0.0002400736 0.00023833485 0.00026849873 0.00026159483 0.00029754324 0.0003171285 0.0002610016 0.00027409778 0.00031028542 0.00028979464 0.0003487166 0.0002720802 0.00036355332 0.00036504262 0.0003823944 0.00032241212 0.00037729883 0.00033370225 0.00020381728 0.00047159975 0.0003901404 0.0003952797 0.00032692874 0.00037503973 0.00036565223 0.00045501126 0.00033553748 0.00046786593 0.00041310934 0.0003910186 0.0005980064 0.00070954004 0.0007095149 0.000662296 0.0005494497
90 2.442551 0.09861111 0.0017649038 5.151695e-05 7.875427e-05 7.437968e-05 8.542599e-05 7.450322e-05 7.9520985e-05 5.3727304e-05 8.945894e-05 0.00014254657 5.892437e-05 8.5284206e-05 6.4886735e-05 0.00017278349 0.000118499076 0.0001585321 0.00011298136 0.00014092356 9.9604906e-05 8.441843e-05 8.2969695e-05 0.00010450708 0.0001306978 0.00012956256 9.3118564e-05 0.000129891 0.0001443213 0.00011550485 0.00019675157 0.0002535523 9.479759e-05 0.00015944298 0.0001706826 0.00025786753 0.00016807763 0.00017974054 0.00026524605 0.0001808748 0.00027973796 0.0001463434 0.00017539167 0.00021313677 0.0002177168 0.0002402031 0.00026119992 0.00027127154 0.00027216296 0.00030575442 0.00027423646 0.00027013101 0.00020727419 0.00019259467 0.00033965812 0.00042244417 0.0003685522 0.00024590536 0.00046033022 0.00031161294 0.00037219955 0.00049127324 0.00028061194 0.00031028208 0.0004929619 0.0005392285 0.0004963852
